hotel_name,hotel_address,original,paraphrase,turker_selected_attributes
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, FL 33139, USA","The property has a high-end restaurant and a rooftop bar, as well as 4 outdoor pools, a fitness center and direct beach access with umbrellas. ",There is direct beach access with umbrellas from the hotel. There is a high end resturant and rooftop bar on the property as well as 4 outdoor pools and a fitness center.  ,feels_upscale | has_rooftop_bar | has_restaurant | has_bar_onsite | has_swimming_pool_outdoor | has_beach_access | has_fitness_center
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, FL 33139, USA","The sophisticated airy rooms have reclaimed driftwood lining the walls and feature ocean views, organic cotton sheets and live edge wood desks, plus free Wi-Fi, 55-inch flat-screen TVs and Nespresso machines.","The hotel rooms are airy with ocean views and have reclaimed driftwood lining the walls. The rooms come with cotton sheets, live edge wood desks and Nespresso machines. For your entertainment needs, there is free Wi-Fi and 55 inch flat-screen TVs.",feels_elegant | feels_upscale | feels_chic | has_desk_in_rooms | has_wi_fi_free | is_airy | has_specialty_coffeemaker_nespresso
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, FL 33139, USA","The sophisticated airy rooms have reclaimed driftwood lining the walls and feature ocean views, organic cotton sheets and live edge wood desks, plus free Wi-Fi, 55-inch flat-screen TVs and Nespresso machines.","The hotel offers driftwood-lined, large rooms with ocean views and organic cotton sheets.  Wifi, Nespresso machines and 55-inch tvs are also included.",feels_elegant | feels_upscale | feels_chic | has_desk_in_rooms | has_wi_fi_free | is_airy | has_specialty_coffeemaker_nespresso
A&O Berlin Hauptbahnhof,unknown,"Basic hostel with mixed & female 4-8 bed dorms, plus a roof terrace with a bar & billiards table.",A basic hostel that has dorms with four to 8 beds in them. Males and females dorm together in mixed rooms. There is also a roof terrace and pool table. ,has_pool_or_billiards_table | has_terrace | has_bar_onsite | is_straightforward | has_terrace_in_rooms | is_hotel_type
A&O Berlin Hauptbahnhof,unknown,"Basic hostel with mixed & female 4-8 bed dorms, plus a roof terrace with a bar & billiards table. ",This hostel provides dorm rooms for both male and females visitors.  There are about 4-8 dorm rooms.  The place includes a terrace on the roof that also has a bar and table for billiards.,has_pool_or_billiards_table | has_terrace | has_bar_onsite | is_straightforward | has_terrace_in_rooms | is_hotel_type
A&O Berlin Hauptbahnhof,unknown,". No-frills mixed & female 4-8 bed dorms An 8-minute walk from Berlin Hauptbahnhof S-Bahn station, this modern hostel is 3.2 km from Brandenburg Gate and 4 km from the Berlin Wall. ","Even though it's a no-frills hostel with mixed and female 4-8 bed dorms, it's still within walking distance of the berlin haputbahnhof s-bahn station and within 4 km of the brandenburg gate and the berlin wall. ",feels_no_frills | feels_modern | feels_contemporary
A&O Hamburg Hauptbahnhof,unknown,"Budget hotel in a converted warehouse The bright, simple rooms come with en suite bathrooms, complimentary Wi-Fi and cable TV. Children age 18 and under stay free with a parent.",The A&O Hamburg Hauptbahnhof used to be a warehouse. It's pretty inexpensive but the rooms are nice. Each suite has its own bathroom. There's free WiFi and cable and kids under 18 can stay for fee if they're with a parent.,None
A&O Hamburg Hauptbahnhof,unknown,"he bright, simple rooms come with en suite bathrooms, complimentary Wi-Fi and cable TV. ","This hotel has bright, simple rooms with en suite bathrooms.  TV and Wifi are included.",None
A&O Hamburg Hauptbahnhof,unknown,"Modern budget lodging featuring complimentary Wi-Fi, a laid-back bar & a casual eatery.",This is a cheap hotel that has free Wi-Fi and a casual bar and restaurant.,has_wi_fi_free | feels_casual
A&O München Hauptbahnhof,unknown,"Straightforward dorm-style & private rooms with free WiFi, plus a casual bar & a business center.",This hostel has both normal dorm style rooms as well as private rooms with free Wi-Fi. The place also has a casual bar and a business center.,has_wi_fi_free
A&O München Hauptbahnhof,unknown,"Relaxed hostel with free WiFi & a bar A 7-minute walk from Munich Hauptbahnhof U-Bahn and S-Bahn stations, this relaxed hostel is a 15-minute walk from Oktoberfest and 2 km from Marienplatz public square.","The hostel offers a relaxed feel and is with-in a few km from several popular destinations. Near by areas include Munich Hauptbahnhof U-Bahn and S-Bahn stations, Oktoberfest, and Marienplatz public square.",feels_casual | feels_relaxing
A&O München Hauptbahnhof,unknown,The straightforward dorm rooms feature wood floors and free Wi-Fi.,This hotel has simple rooms with wood floors and free Wi-Fi.,has_wi_fi_free | is_room_type | has_hardwood_floor_rooms | is_straightforward
Ala Moana Hotel,"410 Atkinson Drive, Honolulu, HI 96814, USA",Most rooms have private balconies with mountain or ocean views.,Most of the rooms in this hotel have private balconies.  The views are either mountain or ocean views.,has_balcony_in_rooms
Ala Moana Hotel,"410 Atkinson Drive, Honolulu, HI 96814, USA","Relaxed quarters with free WiFi, plus an outdoor pool, restaurants & a nightclub","This hotel has a real relaxed feel to it.  It has such amenities as free wi-fi for guests, an outdoor pool, a few restaurants and a nightclub.",has_wi_fi_free | feels_casual | has_restaurant | has_nightclub | has_swimming_pool_outdoor | feels_relaxing
Ala Moana Hotel,"410 Atkinson Drive, Honolulu, HI 96814, USA","Other amenities include an outdoor pool with a sundeck, an exercise room, a sauna and a steam room.",There's a outdoor pool to cool off in the evening or after you enjoy a workout in the exercise room. But if you want you can enjoy a nice steam or use the sauna.,has_sauna | has_sundeck
Aloft Kuala Lumpur Sentral,unknown,"Hip hotel offering modern rooms & suites, plus dining & a rooftop pool with a tiki bar. ",This hip hotel features modern rooms and suites. It includes dining and a rooftop pool with a tiki bar.,feels_hip | feels_contemporary | has_swimming_pool_rooftop | feels_modern
Aloft Kuala Lumpur Sentral,unknown,"It's 2 km from both the shops and restaurants of Central Market, and the landmark Merdeka Square. ","The hotel is conveniently located for travelers, just 2 km from both the shops and restaurants of Central Market and the landmark Merdeka Square.",has_restaurant
Aloft Kuala Lumpur Sentral,unknown,"The contemporary rooms and suites offer free Wi-Fi, 42-inch flat-screens, minifridges and safes. Most come with sofas and views of the city. Suites add complimentary minibars and separate living areas with dining tables.","This modern hotel features the basics such as free Wi-Fi, flat-screen TVs, and also minifridges and safes. Many of the rooms feature great views of the city. Suites feature minibars, dinning tables, as well as separate rooms for the guests.",feels_contemporary | is_room_type | has_wi_fi_free | feels_modern | has_safe_in_room | has_minifridge_in_rooms
Amba Hotel Marble Arch,unknown,"The polished rooms and suites provide flat-screen TVs, minifridges and Nespresso machines, as well as free Wi-Fi and 24-hour room service.","This is a fancy hotel that offers both rooms and suites. Each room has a flat-screen TV, mini fridge and Nespresso machine. They also provide free Wi-Fi and 24-hour room service.",feels_elegant | has_specialty_coffeemaker_nespresso | is_room_type | has_wi_fi_free | has_room_service | has_minifridge_in_rooms
Amba Hotel Marble Arch,unknown,"Set in an art deco building, this grand hotel overlooks Oxford Street and Hyde Park and is a 3-minute walk from the Marble Arch tube stop and 1.3 miles from Buckingham Palace.","This hotel is in an art deco building.  It overlooks Oxford Street and Hyde park, with only a short walk to the Marble Arch tube stop.  1.3 miles away, you'll find Buckingham Palace.",has_notable_decor | feels_upscale
Amba Hotel Marble Arch,unknown," The polished rooms and suites provide flat-screen TVs, minifridges and Nespresso machines, as well as free Wi-Fi and 24-hour room service","The hotel rooms and suites are elegant and polished and provide flat-screen TVs, minifridges and Nespresso machines for your convenience. The hotel rooms also include free Wi-Fi, and 24-hour room service is available.",feels_elegant | has_specialty_coffeemaker_nespresso | is_room_type | has_wi_fi_free | has_room_service | has_minifridge_in_rooms
Ambassade Hotel,unknown,"The upscale rooms feature contemporary and/or opulent decor and come with free Wi-Fi, flat-screens and sitting areas.",this luxury hotel offers hot breakfast. It also has airy French restaurant. Pets are welcome. ,has_wi_fi_free | feels_contemporary | feels_upscale | swanky_lodging | feels_modern
Ambassade Hotel,unknown,"Set in a row of 10 attached 17th-century townhouses, this luxury hotel is a 5-minute walk from a tram stop, 10 minutes on foot from the Anne Frank House and 1.3 km from the Rijksmuseum. ",The extravagant Ambassade Hotel is made up 10 connected 17th-century townhouses. Walking from the hotel you can reach the tram stop within 5 minutes and the Ann frank House in 10 minutes. Not much more than a half a mile away you can also visit the Rijksmuseum. ,is_hotel_type
Ambassade Hotel,unknown,"Set in a row of 10 attached 17th-century townhouses, this luxury hotel is a 5-minute walk from a tram stop, 10 minutes on foot from the Anne Frank House and 1.3 km from the Rijksmuseum","This luxury hotel consists of 10 attached 17th-century townhouses.  The hotel is a 5-minute walk from a tram stop, a 10 minute walk to the Anne Frank House, and 1.3 km to the Rijksmuseum.",is_hotel_type
"Ames Boston Hotel, Curio Collection by Hilton","1 Court Street, Boston, MA 02108, USA","Chic lodging in a historic skyscraper In a stately 1893 skyscraper, this refined hotel is 0.2 miles from Faneuil Hall, 3.5 miles from Logan International Airport and 2 minutes' walk from Government Center station. ","Located in a stately 1893 skyscraper, this hotel is a short drive from Faneuil Hall and Logan International Airport. The Government Center station is within walking distance.",feels_elegant | feels_chic | is_historic
