Phrase,Intent
I need a one way flight and prefer traveling in Premium Economy class.,INFORM
I would like to leave next Friday.,INFORM
"I am traveling to NYC from Seattle, WA. I prefer to travel on Delta Airlines.",INFORM
Is this a refundable ticket?,REQUEST
What is the arrival airport,REQUEST
Sounds good to me.,AFFIRM
Sounds good to me.,SELECT
"Yes, Can you assist me with buying the ticket.",INFORM
That is correct.,AFFIRM
That is all I needed. Thank you.,THANK_YOU
That is all I needed. Thank you.,GOODBYE
Can you help me to find one way flights for my upcoming trip?,INFORM
I'll be going to SF.,INFORM
"I'll be flying from Toronto, Canada on the 4th of this month.",INFORM
Are any other option available.,REQUEST_ALTS
Are there any other options? I need 4 tickets.,REQUEST_ALTS
Are there any other options? I need 4 tickets.,INFORM
Which airport does it depart from?,REQUEST
That sounds good to me.,AFFIRM
That sounds good to me.,SELECT
"Yes, please. Get me Economy class tickets.",AFFIRM
"Yes, please. Get me Economy class tickets.",INFORM
"Yes, that's correct.",AFFIRM
Thank you for the help. That's all I need for now.,THANK_YOU
Thank you for the help. That's all I need for now.,GOODBYE
"I am going on vacation soon, can you find me a ticket?",INFORM
I will be leaving from Washington on the 10th of March going to CDMX. I would prefer a business or economy seat.,INFORM
What airport is the flight leaving from? And can I get a refund on this ticket?,REQUEST
"Okay, this sounds okay for me.",SELECT
"Yes, I would..",AFFIRM
"No, I need three tickets",NEGATE
"No, I need three tickets",INFORM
"Actually, I only need 2 tickets.",NEGATE
"Actually, I only need 2 tickets.",INFORM
"Yes, and when does the flight end, and at which airport?",AFFIRM
"Yes, and when does the flight end, and at which airport?",REQUEST
Thank you. That's everything.,THANK_YOU
Thank you. That's everything.,GOODBYE
Can you help me book a one way flight for a trip I have coming up?,INFORM
"I will need 1 ticket leaving from Seattle, WA.",INFORM
I would like a flight to Atlanta please.,INFORM
I will need the flight for the 12th of this month.,INFORM
Do you have any other available flights?,REQUEST_ALTS
Where would I be departing from and what time will the onward flight arrive?,REQUEST
That's a plan. Can you help book another one way flight for another trip I want to take?,SELECT
That's a plan. Can you help book another one way flight for another trip I want to take?,INFORM
Yes that would be correct.,AFFIRM
Thank you so much.,THANK_YOU
Thank you so much.,GOODBYE
"No, that will be okay. Thank you.",NEGATE
"No, that will be okay. Thank you.",THANK_YOU
"I have a trip coming up, can you find me a oneway trip flight?",INFORM
I'm going to London.,INFORM
"I leave from Atlanta, GA on the 2nd.",INFORM
Are there any other flights? I prefer Delta Airlines. I'm heading to NY.,REQUEST_ALTS
Are there any other flights? I prefer Delta Airlines. I'm heading to NY.,INFORM
When does the onward flight arrive?,REQUEST
"That sounds good to me. I want to travel soon, can you help me buy a oneway ticket?",SELECT
"That sounds good to me. I want to travel soon, can you help me buy a oneway ticket?",INFORM
"Yes, that's right.",AFFIRM
Which airport does it leave from?,REQUEST
What airport does it arrive at? Is it refundable?,REQUEST
"Thanks, that's all I need.",THANK_YOU
"Thanks, that's all I need.",GOODBYE
"Hey, I am looking for a one way flight on the 3rd of this month.",INFORM
From SD.,INFORM
I'm going to Portland. I would like an economy ticket.,INFORM
No I just wanted the information. thank you.,NEGATE
No I just wanted the information. thank you.,GOODBYE
I'm looking for one way flights.,INFORM
"Paris, France.",INFORM
Leaving from Seattle on the 8th.,INFORM
From which airport?,REQUEST
Sounds good.,AFFIRM
Sounds good.,SELECT
Sounds good.,GOODBYE
