Phrase,Entity
I,O
am,O
feeling,O
hungry,O
so,O
I,O
would,O
like,O
to,O
find,O
a,O
place,O
to,O
eat,O
.,O
,
I,O
would,O
like,O
for,O
it,O
to,O
be,O
in,O
San,O
Jose,O
.,O
,
I,O
usually,O
like,O
eating,O
the,O
American,B-cuisine
type,O
of,O
food,O
.,O
,
Can,O
you,O
give,O
me,O
the,O
address,O
of,O
this,O
restaurant,O
.,O
,
Can,O
you,O
give,O
me,O
the,O
phone,O
number,O
that,O
I,O
can,O
contact,O
them,O
with,O
?,O
,
Is,O
there,O
some,O
other,O
restaurant,O
which,O
you,O
can,O
suggest,O
?,O
,
Do,O
you,O
have,O
another,O
restaurant,O
matching,O
my,O
needs,O
?,O
For,O
example,O
a,O
restaurant,O
which,O
is,O
economical,O
and,O
is,O
located,O
in,O
Palo,O
Alto,O
.,O
,
Alright,O
",",O
that,O
seems,O
good,O
.,O
I,O
would,O
like,O
to,O
make,O
a,O
booking,O
at,O
this,O
restaurant,O
.,O
,
I,O
will,O
be,O
eating,O
there,O
at,O
11:30,B-time
am,O
so,O
make,O
it,O
for,O
then,O
.,O
,
That,O
suits,O
me,O
well,O
.,O
Can,O
you,O
tell,O
me,O
if,O
they,O
feature,O
live,O
music,O
?,O
,
Will,O
I,O
be,O
able,O
to,O
find,O
liquor,O
there,O
?,O
Can,O
you,O
give,O
me,O
the,O
address,O
of,O
their,O
location,O
?,O
,
I,O
appreciate,O
it,O
very,O
much,O
.,O
That,O
would,O
be,O
all,O
.,O
,
Hi,O
i,O
need,O
a,O
help,O
",",O
i,O
am,O
very,O
hungry,O
",",O
I,O
am,O
looking,O
for,O
a,O
restaurant,O
,
Some,O
Punjabi,B-cuisine
kind,O
of,O
foods,O
in,O
milpitas,B-city
,
Ok,O
",",O
What,O
is,O
the,O
address,O
?,O
How,O
pricey,O
are,O
they,O
?,O
,
Ok,O
",",O
Find,O
me,O
another,O
restaurant,O
?,O
,
No,O
",",O
suggest,O
me,O
another,O
Restaurant,O
",",O
Some,O
Take-out,B-cuisine
type,O
of,O
food,O
will,O
be,O
perfect,O
,
Yes,O
",",O
it,O
seems,O
good,O
for,O
me,O
,
Yes,O
",",O
I,O
want,O
it,O
on,O
the,O
11th,O
,
at,O
afternoon,O
1:30,O
,
No,O
",",O
time,O
change,O
to,O
twelve,O
in,O
the,O
afternoon,O
for,O
one,O
people,O
,
Yes,O
,
What,O
is,O
the,O
Restaurant,O
address,O
",",O
Do,O
they,O
have,O
live,O
music,O
",",O
I,O
love,O
it,O
,
Thank,O
you,O
very,O
much,O
for,O
your,O
help,O
,
No,O
",",O
Thanks,O
,
Help,O
me,O
find,O
a,O
good,O
restaurant,O
.,O
,
Find,O
me,O
Ethiopian,B-cuisine
cuisine,O
in,O
Berkeley,B-city
.,O
,
Do,O
they,O
have,O
live,O
music,O
?,O
,
That's,O
okay,O
.,O
I'd,O
like,O
to,O
reserve,O
a,O
table,O
for,O
the,O
4th,O
.,O
,
Reserve,O
the,O
table,O
for,O
the,O
2nd,O
of,O
this,O
month,O
at,O
17:15,B-time
.,O
,
That's,O
right,O
.,O
Do,O
they,O
serve,O
alcohol,O
?,O
And,O
how,O
expensive,B-price_range
is,O
the,O
place,O
?,O
,
Can,O
you,O
check,O
if,O
a,O
table,O
is,O
available,O
at,O
17:30,B-time
?,O
,
That's,O
correct,O
.,O
,
Thank,O
you,O
.,O
That's,O
all,O
I,O
need,O
for,O
now,O
.,O
,
I'm,O
looking,O
for,O
a,O
place,O
to,O
eat,O
.,O
,
Some,O
Freshwater,O
fish,B-cuisine
kind,O
of,O
food,O
in,O
Palo,O
Alto,O
would,O
be,O
perfect,O
.,O
,
Could,O
you,O
suggest,O
any,O
other,O
restaurant,O
?,O
,
Yes,O
",",O
that,O
works,O
for,O
me,O
.,O
,
Yes,O
",",O
I,O
want,O
to,O
make,O
a,O
reservation,O
for,O
one,O
.,O
Make,O
it,O
at,O
half,O
past,O
6,B-party_size
in,O
the,O
evening,O
.,O
,
Yes,O
",",O
that,O
works,O
for,O
me,O
.,O
How,O
pricey,O
are,O
they,O
?,O
What,O
is,O
their,O
contact,O
number,O
?,O
,
Thank,O
you,O
very,O
much,O
.,O
,
No,O
",",O
thank,O
you,O
very,O
much,O
.,O
,
I'd,O
like,O
to,O
find,O
a,O
place,O
to,O
eat,O
.,O
,
Lobster,B-cuisine
sounds,O
great,O
.,O
Please,O
search,O
in,O
San,O
Mateo,O
.,O
,
What's,O
their,O
phone,O
number,O
?,O
,
Any,O
other,O
suggestions,O
?,O
,
Do,O
they,O
have,O
live,O
music,O
?,O
,
Any,O
other,O
suggestions,O
?,O
,
That,O
would,O
work,O
great,O
.,O
I,O
would,O
like,O
to,O
make,O
a,O
reservation,O
there,O
at,O
evening,O
5:30,O
on,O
March,O
14th,O
.,O
,
Yes,O
",",O
that,O
would,O
be,O
great,O
.,O
Do,O
they,O
serve,O
liquor,O
or,O
have,O
live,O
music,O
?,O
,
Thanks,O
so,O
much,O
!,O
,
Nope,O
",",O
that'll,O
be,O
all,O
.,O
Thanks,O
!,O
,
I'm,O
looking,O
for,O
a,O
Filipino,B-cuisine
place,O
to,O
eat,O
.,O
,
I,O
want,O
to,O
eat,O
in,O
San,O
Bruno,O
,
Any,O
other,O
suggestions,O
?,O
,
How,O
cheap,O
is,O
it,O
and,O
how,O
much,O
does,O
it,O
cost,O
?,O
,
Please,O
can,O
you,O
make,O
the,O
reservation,O
,
On,O
the,O
12th,O
at,O
six,O
pm,O
,
That's,O
good,O
.,O
Do,O
they,O
serve,O
liquor,O
and,O
what,O
is,O
there,O
number,O
?,O
,
Thanks,O
a,O
lot,O
,
Can,O
you,O
help,O
find,O
a,O
place,O
to,O
eat,O
?,O
,
I,O
would,O
like,O
Freshwater,O
fish,B-cuisine
.,O
,
The,O
city,O
is,O
San,O
Jose,O
.,O
,
Yes,O
that,O
is,O
fine,O
.,O
,
Yes,O
make,O
it,O
for,O
March,O
10th,O
.,O
,
Reserve,O
for,O
six,O
in,O
the,O
evening,O
.,O
,
Yes,O
what,O
is,O
the,O
address,O
and,O
do,O
they,O
have,O
live,O
music,O
?,O
,
Thank,O
you,O
for,O
all,O
.,O
,
No,O
",",O
that,O
is,O
all,O
.,O
,
My,O
friend,O
and,O
I,O
are,O
looking,O
for,O
a,O
place,O
to,O
eat,O
.,O
,
My,O
family,O
and,O
I,O
are,O
in,O
San,O
Jose,O
and,O
the,O
perfect,O
place,O
would,O
have,O
pizza,B-cuisine
and,O
pasta,B-cuisine
.,O
We,O
don't,O
have,O
a,O
price,O
preference,O
.,O
,
Is,O
there,O
any,O
other,O
restaurant,O
that,O
you,O
can,O
suggest,O
?,O
,
Can,O
I,O
please,O
have,O
the,O
address,O
and,O
contact,O
number,O
?,O
,
Is,O
there,O
any,O
other,O
restaurant,O
that,O
you,O
can,O
suggest,O
?,O
,
That,O
restaurant,O
will,O
work,O
can,O
you,O
please,O
make,O
a,O
reservation,O
for,O
12:30,B-time
.,O
,
Yes,O
",",O
thank,O
you,O
that,O
is,O
correct,O
.,O
,
Thank,O
you,O
so,O
much,O
for,O
setting,O
that,O
up,O
.,O
,
That,O
is,O
all,O
thank,O
you,O
so,O
much,O
.,O
,
Can,O
you,O
find,O
me,O
something,O
economical,O
to,O
eat,O
in,O
Pleasanton,B-city
.,O
,
I,O
would,O
like,O
some,O
