Input.hotel_name,Input.hotel_address,Input.p-slot0,Input.p-slot1,Input.p-slot2,Input.p-slot3,Input.p-slot4,Input.p-slot5,Answer.response
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, FL 33139, USA",has_bar_onsite,feels_luxury,feels_chic,has_beach_access,feels_upscale,feels_lively,"A good choice is 1 Hotel South Beach in Miami Beach. It's luxurious, lively, upscale, and chic, with beach access and a bar onsite."
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, FL 33139, USA",has_bar_onsite,feels_luxury,feels_chic,has_beach_access,feels_upscale,feels_lively,I think that  1 Hotel South Beach will meet your needs. It's a chic luxury hotel with beach access and a bar. Very lively.
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, FL 33139, USA",has_bar_onsite,feels_luxury,feels_chic,has_beach_access,feels_upscale,feels_lively,A good choice would be the 1 Hotel South Beach. It has luxurious beach access and an onsite bar. This location is very lively and upscale.
Ala Moana Hotel,"410 Atkinson Drive, Honolulu, HI 96814, USA",feels_casual,feels_relaxing,has_ballroom,has_nightclub,has_onsite_cafe,has_convention_center,"A good choice is Ala Moana hotel in Honolulu. It's casual and relaxing, with an onsite cafe, nightclub, and ballroom as well as a convention center."
Ala Moana Hotel,"410 Atkinson Drive, Honolulu, HI 96814, USA",feels_casual,feels_relaxing,has_ballroom,has_nightclub,has_onsite_cafe,has_convention_center,"One choice would be Ala Moana Hotel. It feels casual and relaxing. It has a convention center, night club and an onsite cafe."
Ala Moana Hotel,"410 Atkinson Drive, Honolulu, HI 96814, USA",feels_casual,feels_relaxing,has_ballroom,has_nightclub,has_onsite_cafe,has_convention_center,"The Ala Moana Hotel is ver relaxing and casual.  You can dance in its nightclub or its ballroom, depending on your tastes.  Or you can enjoy a cup at the onsite cafe."
"Ames Boston Hotel, Curio Collection by Hilton","1 Court Street, Boston, MA 02108, USA",feels_chic,feels_contemporary,has_business_center,feels_modern,has_wi_fi_free,is_historic,"You might want to try the Ames Boston Hotel, Curio Collection by Hilton. It's historic, but chic, with a business center and free wifi.  For $200 a night, I think you'll enjoy it."
"Ames Boston Hotel, Curio Collection by Hilton","1 Court Street, Boston, MA 02108, USA",feels_chic,feels_contemporary,has_business_center,feels_modern,has_wi_fi_free,is_historic,"A good choice would be the Ames Boston Hotel, Curio Collection by Hilton. It is historic but has a very modern and chic feeling to it. They offer free wi-fi and a business center for your use."
"Ames Boston Hotel, Curio Collection by Hilton","1 Court Street, Boston, MA 02108, USA",feels_chic,feels_contemporary,has_business_center,feels_modern,has_wi_fi_free,is_historic,A fantastic historic yet modern contemporary hotel would be Ames Boston Hotel by Hilton. I also includes free wifi and has a business center.
Anaheim Portofino Inn & Suites,"1831 South Harbor Boulevard, Anaheim, California 92802, United States",feels_contemporary,feels_modern,has_convention_center,has_free_parking,has_hot_tub,has_swimming_pool_outdoor,"Anaheim Portofinio Inn & Suites is a modern yet contemporary hotel just a few minutes walking distance from Disneyland. Outside of visiting Disneyland, you can enjoy a variety of excellent restaurants ad bits of entertainment at the Gardenwalk or hit up the Anaheim Convention Center."
Anaheim Portofino Inn & Suites,"1831 South Harbor Boulevard, Anaheim, California 92802, United States",feels_contemporary,feels_modern,has_convention_center,has_free_parking,has_hot_tub,has_swimming_pool_outdoor,Anaheim Portofino Inn & Suites is a nice contemporaneity with a pool and a convention center. It has  modern styling and free parking.  It even has hot tubs.
Anaheim Portofino Inn & Suites,"1831 South Harbor Boulevard, Anaheim, California 92802, United States",feels_contemporary,feels_modern,has_convention_center,has_free_parking,has_hot_tub,has_swimming_pool_outdoor,"Anaheim Portofino Inn & Suites is a really nice option. It's very contemporary and modern inside and the rooms are spacious and well decorated. It also offers amenities such as a pool, hot tub, free parking and even a convention center."
