Phrase,Intent
I need a restaurant reservation.,INFORM
It has to be in San Fran.,INFORM
It'll be afternoon 12.,INFORM
I'd like Palmer's.,INFORM
Perfect. What's their cuisine type and number?,AFFIRM
Perfect. What's their cuisine type and number?,REQUEST
"Thanks, a lot. That'll do it, for now.",THANK_YOU
"Thanks, a lot. That'll do it, for now.",GOODBYE
On March 2nd we are going to celebrate my wedding anniversary. So please check for a reservation at a restaurant.,INFORM
"Yes, I prefer jannah restaurant at 4:30 pm",INFORM
It must be in SFO,INFORM
"Sorry, Please change it the 8th at 11:30",INFORM
"Sorry, Please change it the 8th at 11:30",NEGATE
"Great, thank you",AFFIRM
Thank you very much.,THANK_YOU
Thank you very much.,GOODBYE
id like to make a reservation for friday next week.,INFORM
"yes, its called marnee in San Francisco.",INFORM
id like it for 19:00.,INFORM
"yes thats right, do they have live music? how expensive it the menu?",AFFIRM
"yes thats right, do they have live music? how expensive it the menu?",REQUEST
thank you that's all for now.,THANK_YOU
thank you that's all for now.,GOODBYE
I would like to make a reservation at the restaurant Eric's.,INFORM
It's in the SF area.,INFORM
"I was thinking 17:45, for two guests.",INFORM
Yes that is perfect.,AFFIRM
"Absolutely, thank you.",AFFIRM
Thank you very much for your efforts.,THANK_YOU
"No, that will be all. Thank you very much.",THANK_YOU
"No, that will be all. Thank you very much.",NEGATE
I want to make a reservation at a restaurant.,INFORM
I want a reservation at Mcdonald's at 4:45 pm.,INFORM
I want it in SF.,INFORM
"Yes, that's works for me.",AFFIRM
Thanks you very much much. That's all I need.,THANK_YOU
Thanks you very much much. That's all I need.,GOODBYE
Hey! I would like to have dining today in the restaurant Clementine's. Please can you reserve me a table?,INFORM
Please can you make it in San Ramon.,INFORM
I would be available at 16:45.,INFORM
"Nope, Please can you reserve at Sunnyvale.",INFORM
"Nope, Please can you reserve at Sunnyvale.",NEGATE
Yup! perfect!,AFFIRM
Please can you try the booking again for 1:15 in the afternoon.,INFORM
Yup! that would work.,AFFIRM
"Nope, thanks much.",THANK_YOU
"Nope, thanks much.",NEGATE
I'm taking a client out to dinner and I want to make a dinner reservation.,INFORM
"I want a reservation for Hisui in Vacaville at, say, quarter to 8 in the evening.",INFORM
"Yes, that's what I want.",AFFIRM
"No, thanks.",THANK_YOU
"No, thanks.",NEGATE
I want to book a reservation at a restaurant.,INFORM
Look in San Fran.,INFORM
Book a table for four at Kusakabe for later today. Make the reservation for evening 6:45.,INFORM
Actually change it to March 5th in El Cerrito.,INFORM
Actually change it to March 5th in El Cerrito.,NEGATE
"No, I want you to book at Yoshio and make it for three people instead.",INFORM
"No, I want you to book at Yoshio and make it for three people instead.",NEGATE
"Yes, that sounds right. What's their number, and do they serve alcohol?",AFFIRM
"Yes, that sounds right. What's their number, and do they serve alcohol?",REQUEST
"Yes, try to make it for 18:30.",INFORM
"Yup, that's right.",AFFIRM
"Thanks, that's all.",THANK_YOU
"Thanks, that's all.",GOODBYE
"It's my friend's birthday and I want to take them to Aquitaine in SF, can you book me a reservation?",INFORM
"Book the reservation for 12 o""clock in the afternoon",INFORM
"That's incorrect, I was it to be on the 14th of this month.",INFORM
"That's incorrect, I was it to be on the 14th of this month.",NEGATE
Yes that works great,AFFIRM
Will there be live music? What is their phone number?,REQUEST
Thank you!,THANK_YOU
Thank you!,GOODBYE
"No that will be all, thank you.",THANK_YOU
"No that will be all, thank you.",NEGATE
I want to get a reservation in Berkeley.,INFORM
6:15 in the evening at Bistro liaison.,INFORM
yeah. what do they serve?,AFFIRM
yeah. what do they serve?,REQUEST
yes that's fine,AFFIRM
thanks,THANK_YOU
no. I'm good.,THANK_YOU
no. I'm good.,NEGATE
I want to reserve a table at a restaurant.,INFORM
I'd prefer the Lark restaurant in San Fran at five in the evening.,INFORM
That sounds great. Can I know their address? Do they serve Spicy Indian food?,AFFIRM
That sounds great. Can I know their address? Do they serve Spicy Indian food?,REQUEST
"Yes, let's try that.",AFFIRM
Thank you very much. That is all I need for now.,THANK_YOU
Thank you very much. That is all I need for now.,GOODBYE
I want to book the Taste of Burma restaurant for 2 persons. Can you help me?,INFORM
I need to book it at quarter past 7 in the evening in Daly City.,INFORM
"Yes, that is correct. Please make it.",AFFIRM
"Yes, please check.",AFFIRM
Can you help me make a reservation at 1:15 pm in Concord?,INFORM
"Agave Grill please, for March 10th",INFORM
Yes that's fine,AFFIRM
Thanks for your help,THANK_YOU
No that's all for now,THANK_YOU
No that's all for now,NEGATE
Can you reserve a table for me?,INFORM
I want SF. I want to eat at Crazy Pepper. Schedule fo night 8.,INFORM
No. I have 3 people.,INFORM
No. I have 3 people.,NEGATE
Got it. That's what I want.,AFFIRM
"Ok, well try Taste of the Himalayas.",INFORM
"Yes, correct. Can you tell if they have Taiwanese food?",AFFIRM
"Yes, correct. Can you tell if they have Taiwanese food?",REQUEST
"No, that's quite enough.",THANK_YOU
"No, that's quite enough.",NEGATE
I'd like to book a spot at a diner.,INFORM
I'd like to have it in Hayward at evening 5.,INFORM
The diner is called Paya.,INFORM
"Nope, I'd like to have it in Cotati, and the diner is China Chef.",INFORM
"Nope, I'd like to have it in Cotati, and the diner is China Chef.",NEGATE
"Yeah, that's perfect for me.",AFFIRM
Thank you for your assistance.,THANK_YOU
Thank you for your assistance.,GOODBYE
"No, thank you for your assistance.",THANK_YOU
"No, thank you for your assistance.",NEGATE
I would like to make reservations for 2 at Pescatore.,INFORM
"A quarter to 1 in the afternoon, please.",INFORM
I would like the reservation in SFO.,INFORM
"Yes, that is correct.",AFFIRM
"Yes, that will be fine.",AFFIRM
Do they have live music and could you provide me with their contact number?,REQUEST
Thank you so much.,THANK_YOU
"No, that is all. Thank you.",THANK_YOU
"No, that is all. Thank you.",NEGATE
"Please make me a reservation on 9th of this month, at seven pm",INFORM
"Yes, the State Bird in SFO",INFORM
Yes that fine,AFFIRM
"Thats all i want, thanks",THANK_YOU
"Thats all i want, thanks",GOODBYE
I want to make a reservation at a restaurant on 10th of march in san fran.,INFORM
The restaurant is thanh long at 1:15 in the afternoon.,INFORM
"yes, that works for me",AFFIRM
yes that works for me.,AFFIRM
thanks a lot,THANK_YOU
thanks a lot,GOODBYE
Can you find me a restaurant so that I can make a reservation?,INFORM
The place is Cupertino. Make a reservation at Yayoi and the time is quarter to 8 in the evening.,INFORM
Yes that's correct. Do they serve liquor?,AFFIRM
Yes that's correct. Do they serve liquor?,REQUEST
Please try booking again in The Mexican restaurant at 18:45,INFORM
Can you change the city to Hayward?,INFORM
Can you change the city to Hayward?,NEGATE
Yes perfect.,AFFIRM
Thanks a lot,THANK_YOU
Thanks a lot,GOODBYE
